seed,scenario,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
6,lossless,9,10,0.4722,0.5153,0.0335,0.3722,0.6278,1,0.0,0.0
6,lossless,10,15,0.4638,0.511,0.0,0.3638,0.6362,1,0.0,0.0
6,lossless,11,12,0.4835,0.4852,0.0,0.3835,0.6165,1,0.0,0.0
6,lossless,12,13,0.4866,0.484,0.0,0.3866,0.6134,1,0.0,0.0
6,lossless,13,14,0.4787,0.4885,0.0,0.3787,0.6213,1,0.0,0.0
6,lossless,14,15,0.4678,0.4976,0.0,0.3678,0.6322,1,0.0,0.0
6,lossless,15,20,0.4825,0.4615,0.0,0.3825,0.6175,1,0.0,0.0
6,lossless,16,17,0.4774,0.4681,0.0,0.3774,0.6226,1,0.0,0.0
6,lossless,17,18,0.4784,0.4771,0.0005,0.3784,0.6216,1,0.0,0.0
6,lossless,18,19,0.4701,0.5143,0.0,0.3701,0.6299,1,0.0,0.0
6,lossless,19,20,0.4863,0.4787,0.0,0.3863,0.6137,1,0.0,0.0
6,lossless,20,25,0.4568,0.5106,0.0,0.3568,0.6432,1,0.0,0.0
6,lossless,21,22,0.4692,0.492,0.0,0.3692,0.6308,1,0.0,0.0
6,lossless,22,23,0.4598,0.4982,0.0,0.3598,0.6402,1,0.0,0.0
6,lossless,23,24,0.4835,0.468,0.0,0.3835,0.6165,1,0.0,0.0
6,lossless,24,25,0.4896,0.5127,0.0001,0.3896,0.6104,1,0.0,0.0
6,lossless,25,20,0.589,0.5082,0.0,0.389,0.611,2,0.0,0.0
7,lossless,2,1,0.4062,0.5092,0.0503,0.3062,0.6938,1,0.0,0.0
7,lossless,3,4,0.4672,0.5456,0.0,0.3672,0.6328,1,0.0,0.0
7,lossless,4,5,0.4667,0.4921,0.0416,0.3667,0.6333,1,0.0,0.0
7,lossless,5,10,0.4869,0.5275,0.0,0.3869,0.6131,1,0.0,0.0
7,lossless,6,1,0.4283,0.5217,0.0,0.3283,0.6717,1,0.0,0.0
7,lossless,7,1,0.51,0.295,0.0,0.41,0.59,1,0.0,0.0
7,lossless,8,9,0.461,0.5144,0.0023,0.361,0.639,1,0.0,0.0
7,lossless,9,10,0.4985,0.5092,0.0,0.3985,0.6015,1,0.0,0.0
7,lossless,10,15,0.4875,0.4956,0.0304,0.3875,0.6125,1,0.0,0.0
7,lossless,11,12,0.457,0.4658,0.0068,0.357,0.643,1,0.0,0.0
7,lossless,12,13,0.4689,0.4777,0.0137,0.3689,0.6311,1,0.0,0.0
7,lossless,13,14,0.4651,0.486,0.014,0.3651,0.6349,1,0.0,0.0
7,lossless,14,15,0.4905,0.508,0.0,0.3905,0.6095,1,0.0,0.0
7,lossless,15,20,0.4533,0.5137,0.0186,0.3533,0.6467,1,0.0,0.0
7,lossless,16,17,0.4727,0.5203,0.0,0.3727,0.6273,1,0.0,0.0
7,lossless,17,18,0.4894,0.5047,0.0,0.3894,0.6106,1,0.0,0.0
