scenario,seed,timestamp,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
mixed_attack_energy,0,31.0,4,5,0.5318,0.4959,0.3098,0.4318,0.5682,1,0.0,0.0769
mixed_attack_energy,0,31.0,5,6,0.5655,0.5107,0.299,0.4655,0.5345,1,0.0,0.0769
mixed_attack_energy,0,31.0,6,12,0.5467,0.249,0.3189,0.4467,0.5533,1,0.0,0.0769
mixed_attack_energy,0,31.0,7,1,0.5178,0.4877,0.2892,0.4178,0.5822,1,0.0,0.0769
mixed_attack_energy,0,31.0,8,1,0.5899,0.2893,0.301,0.4899,0.5101,1,0.0,0.0769
mixed_attack_energy,0,31.0,9,10,0.5295,0.5196,0.3002,0.4295,0.5705,1,0.0,0.0769
mixed_attack_energy,0,31.0,10,11,0.5291,0.4452,0.3154,0.4291,0.5709,1,0.0,0.0769
mixed_attack_energy,0,31.0,11,17,0.5288,0.4973,0.3018,0.4288,0.5712,1,0.0,0.0769
mixed_attack_energy,0,31.0,12,18,0.5454,0.4857,0.285,0.4454,0.5546,1,0.0,0.0769
mixed_attack_energy,0,31.0,13,14,0.54,0.3868,0.295,0.44,0.56,1,0.0,0.0769
mixed_attack_energy,0,31.0,14,15,0.5141,0.517,0.3078,0.4141,0.5859,1,0.0,0.0769
mixed_attack_energy,0,31.0,15,16,0.5373,0.4792,0.2995,0.4373,0.5627,1,0.0,0.0769
mixed_attack_energy,0,31.0,16,17,0.5295,0.508,0.3225,0.4295,0.5705,1,0.0,0.0769
mixed_attack_energy,0,31.0,17,18,0.5498,0.4974,0.3122,0.4498,0.5502,1,0.0,0.0769
mixed_attack_energy,0,31.0,18,24,0.5334,0.492,0.2932,0.4334,0.5666,1,0.0,0.0769
mixed_attack_energy,0,31.0,19,20,0.5438,0.5215,0.3023,0.4438,0.5562,1,0.0,0.0769
mixed_attack_energy,0,31.0,20,21,0.5274,0.4823,0.2951,0.4274,0.5726,1,0.0,0.0769
mixed_attack_energy,0,31.0,21,27,0.5196,0.5087,0.282,0.4196,0.5804,1,0.0,0.0769
mixed_attack_energy,0,31.0,22,23,0.5599,0.4947,0.3209,0.4599,0.5401,1,0.0,0.0769
mixed_attack_energy,0,31.0,23,24,0.5346,0.5242,0.3074,0.4346,0.5654,1,0.0,0.0769
mixed_attack_energy,0,31.0,24,30,0.5286,0.4183,0.3015,0.4286,0.5714,1,0.0,0.0769
